,mean,std,median,min,max
LSSVM-IP,0.8432,0.136,0.8704,0.4362,1.0
LSSVM-Nystrom,0.843,0.1352,0.8707,0.4704,1.0
LSSVM-PCP,0.8424,0.1388,0.8665,0.4065,1.0
LSSVM (Standard),0.8423,0.1375,0.8686,0.4418,1.0
LSSVM-FSA,0.8419,0.14,0.8736,0.4214,1.0
LSSVM-DualFISTA,0.8374,0.1418,0.8751,0.4524,1.0
XGBoost,0.8341,0.1334,0.8777,0.4704,1.0
LSSVM-Pruning,0.8332,0.1449,0.8727,0.403,1.0
FISTA-Nystrom,0.8282,0.1458,0.868,0.4531,1.0
ADMM-Nystrom,0.8261,0.1495,0.8661,0.2485,1.0
LSSVM-OppMaps,0.8211,0.1384,0.8498,0.425,1.0
LSSVM-ADMM,0.8062,0.1338,0.8344,0.5286,1.0
LSSVM-ADMM-Elastic,0.806,0.1339,0.8344,0.5286,1.0
LSSVM-FISTA,0.7801,0.1411,0.798,0.5025,1.0
FT-Entmax,0.7447,0.1664,0.7444,0.337,1.0
FT-CUR,0.7435,0.1621,0.7478,0.3296,1.0
FT-Softmax,0.742,0.1661,0.7398,0.3143,1.0
FT-Sparsemax,0.7413,0.1661,0.7463,0.337,1.0
SAINT,0.7384,0.1621,0.7496,0.3296,1.0
FT-TopK,0.7179,0.1574,0.7156,0.3389,1.0
